fullVisitorId,channelGrouping,time,country,city,totalTransactionRevenue,transactions,timeOnSite,pageviews,sessionQualityDim,date,visitId,type,productRefundAmount,productQuantity,productPrice,productRevenue,productSKU,v2ProductName,v2ProductCategory,productVariant,currencyCode,itemQuantity,itemRevenue,transactionRevenue,transactionId,pageTitle,searchKeyword,pagePathLevel1,eCommerceAction_type,eCommerceAction_step,eCommerceAction_option
6897161498212019070,Social,17044,Canada,Toronto,,,17,2,,20161004,1475586677,PAGE,,,100000000,,GGOEGGCX056199,Gift Card- $100.00,Home/Gift Cards/,(not set),USD,,,,,Gift Cards,,/google+redesign/,0,1,
9309061623954862081,Referral,3452427,United States,Mountain View,,,3593,103,,20170406,1491503580,PAGE,,,15900000,,GGOEYFKQ020699,YouTube Custom Decals,Office,Single Option Only,USD,,,,,Checkout Review,,/revieworder.html,5,3,Review
2759894513130601779,Direct,328842,United States,Mountain View,154000000,1,1295,20,,20161207,1481155282,EVENT,,1,149000000,,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,${escCatTitle},(not set),USD,,,,,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,,/google+redesign/,3,1,
7057542698176321878,Referral,885958,United States,Seattle,242530000,1,1448,63,,20160817,1471465956,PAGE,,,20790000,,GGOEGAAX0756,Google Youth Tee Fruit Games Lemon,Home/Fruit Games/,(not set),USD,,,,,Fruit Games,,/google+redesign/,0,1,
4660977972422099228,Referral,796702,United States,Mountain View,,,942,20,,20170518,1495132862,PAGE,,,21590000,,GGOEGAAX0213,Yoga Mat,Home/Accessories/Sports & Fitness/,(not set),USD,,,,,Sports & Fitness | Accessories | Google Merchandise Store,,/google+redesign/,0,1,
5159455420801710718,Direct,270354,Canada,Toronto,300000000,1,2026,37,,20161130,1480528902,EVENT,,,30390000,,GGOEGAAX0627,Google Infant Zip Hood Pink,Home/Apparel/Kid's/,(not set),,,,,,Kids' Apparel | Google Merchandise Store,,/google+redesign/,1,1,
0169558682463110560,Referral,176966,United States,Mountain View,155000000,1,206,16,,20170201,1485996464,PAGE,,1,149000000,155000000,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,Single Option Only,USD,,,155000000,ORD201702012163,Checkout Confirmation,,/ordercompleted.html,6,1,
2512335805046114445,Referral,174667,United States,Los Angeles,,,2364,78,,20161113,1479024352,PAGE,,,7190000,,GGOEGDWC020199,Engraved Ceramic Google Mug,Home/Drinkware/Mugs and Cups/,(not set),USD,,,,,Mugs & Cups | Drinkware | Google Merchandise Store,,/google+redesign/,0,1,
9047416947847006092,Referral,80293,United States,not available in demo dataset,,,323,11,,20160819,1471619665,PAGE,,,25990000,,GGOEGAAX0756,Google Youth Tee Fruit Games Lemon,Home/Fruit Games/,(not set),USD,,,,,Fruit Games,,/google+redesign/,0,1,
0246986589437168156,Direct,79493,United States,not available in demo dataset,,,79,5,,20160816,1471362567,PAGE,,,37990000,,GGOEGAAX0628,Google Infant Zip Hood Royal Blue,Home/Apparel/Kid's/Kid's-Infant/,(not set),USD,,,,,Kid's-Infant,,/google+redesign/,0,1,
