ein,elf,tax_pd,subseccd,s501c3or4947a1cd,schdbind,politicalactvtscd,lbbyingactvtscd,subjto6033cd,dnradvisedfundscd,prptyintrcvdcd,maintwrkofartcd,crcounselingqstncd,hldassetsintermpermcd,rptlndbldgeqptcd,rptinvstothsecd,rptinvstprgrelcd,rptothasstcd,rptothliabcd,sepcnsldtfinstmtcd,sepindaudfinstmtcd,inclinfinstmtcd,operateschools170cd,frgnofficecd,frgnrevexpnscd,frgngrntscd,frgnaggragrntscd,rptprofndrsngfeescd,rptincfnndrsngcd,rptincgamingcd,operatehosptlcd,hospaudfinstmtcd,rptgrntstogovtcd,rptgrntstoindvcd,rptyestocompnstncd,txexmptbndcd,invstproceedscd,maintescrwaccntcd,actonbehalfcd,engageexcessbnftcd,awarexcessbnftcd,loantofficercd,grantoofficercd,dirbusnreltdcd,fmlybusnreltdcd,servasofficercd,recvnoncashcd,recvartcd,ceaseoperationscd,sellorexchcd,ownsepentcd,reltdorgcd,intincntrlcd,orgtrnsfrcd,conduct5percentcd,compltschocd,f1096cnt,fw2gcnt,wthldngrulescd,noemplyeesw3cnt,filerqrdrtnscd,unrelbusinccd,filedf990tcd,frgnacctcd,prohibtdtxshltrcd,prtynotifyorgcd,filedf8886tcd,solicitcntrbcd,exprstmntcd,providegoodscd,notfydnrvalcd,filedf8282cd,f8282cnt,fndsrcvdcd,premiumspaidcd,filedf8899cd,filedf1098ccd,excbushldngscd,s4966distribcd,distribtodonorcd,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,filedlieuf1041cd,txexmptint,qualhlthplncd,qualhlthreqmntn,qualhlthonhnd,rcvdpdtngcd,filedf720cd,totreprtabled,totcomprelatede,totestcompf,noindiv100kcnt,nocontractor100kcnt,totcntrbgfts,prgmservcode2acd,totrev2acola,prgmservcode2bcd,totrev2bcola,prgmservcode2ccd,totrev2ccola,prgmservcode2dcd,totrev2dcola,prgmservcode2ecd,totrev2ecola,totrev2fcola,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,rntlexpnsreal,rntlexpnsprsnl,rntlincreal,rntlincprsnl,netrntlinc,grsalesecur,grsalesothr,cstbasisecur,cstbasisothr,gnlsecur,gnlsothr,netgnls,grsincfndrsng,lessdirfndrsng,netincfndrsng,grsincgaming,lessdirgaming,netincgaming,grsalesinvent,lesscstofgoods,netincsales,miscrev11acd,miscrevtota,miscrev11bcd,miscrevtot11b,miscrev11ccd,miscrevtot11c,miscrevtot11d,miscrevtot11e,totrevenue,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,payrolltx,feesforsrvcmgmt,legalfees,accntingfees,feesforsrvclobby,profndraising,feesforsrvcinvstmgmt,feesforsrvcothr,advrtpromo,officexpns,infotech,royaltsexpns,occupancy,travel,travelofpublicoffcl,converconventmtng,interestamt,pymtoaffiliates,deprcatndepletn,insurance,othrexpnsa,othrexpnsb,othrexpnsc,othrexpnsd,othrexpnse,othrexpnsf,totfuncexpns,nonintcashend,svngstempinvend,pldgegrntrcvblend,accntsrcvblend,currfrmrcvblend,rcvbldisqualend,notesloansrcvblend,invntriesalesend,prepaidexpnsend,lndbldgsequipend,invstmntsend,invstmntsothrend,invstmntsprgmend,intangibleassetsend,othrassetsend,totassetsend,accntspayableend,grntspayableend,deferedrevnuend,txexmptbndsend,escrwaccntliabend,paybletoffcrsend,secrdmrtgsend,unsecurednotesend,othrliabend,totliabend,unrstrctnetasstsend,temprstrctnetasstsend,permrstrctnetasstsend,capitalstktrstend,paidinsurplusend,retainedearnend,totnetassetend,totnetliabastend,nonpfrea,totnooforgscnt,totsupport,gftgrntsrcvd170,txrevnuelevied170,srvcsval170,pubsuppsubtot170,exceeds2pct170,pubsupplesspct170,samepubsuppsubtot170,grsinc170,netincunreltd170,othrinc170,totsupp170,grsrcptsrelated170,totgftgrntrcvd509,grsrcptsadmissn509,grsrcptsactivities509,txrevnuelevied509,srvcsval509,pubsuppsubtot509,rcvdfrmdisqualsub509,exceeds1pct509,subtotpub509,pubsupplesub509,samepubsuppsubtot509,grsinc509,unreltxincls511tx509,subtotsuppinc509,netincunrelatd509,othrinc509,totsupp509
390123480,E,201412,8,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,807058,0,Y,7766,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,24309122,1999417,4672072,1723,59,0,524113,5594999018,524114,958702171,524113,86414209,531120,23815244,0,0,0,6663930642,1772378367,0,0,3584904,0,0,0,3584904,0,3584904,16109864684,32588203,16071013957,120433222,38850727,-87845019,-48994292,0,0,0,0,0,0,0,0,0,522292,414049717,525990,67444666,525990,562961517,39774342,1084230242,9475129863,92673041,299100,0,7598845688,19276753,0,280317651,70026122,61463406,35790086,0,2406900,1571000,472500,0,14256622,65230534,12397043,0,18241269,0,31944923,19353209,0,0,0,0,21422771,1372189,269592600,14317804,11166363,3273097,0,64227665,8709938336,-23546003,1526727868,0,171900974,0,0,5126523,0,15771828,118985389,40149457713,10395073132,0,0,24633835168,76993332592,37029041,3283841,0,0,0,0,0,0,70460433544,70500746426,0,0,0,0,0,6492586166,6492586166,76993332592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390123480,E,201312,8,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,791032,0,Y,7929,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,23436583,2247632,3818269,1636,31,0,524113,5338195578,524114,899382690,524113,88061088,531120,23815092,0,0,0,6349454448,1748190393,0,0,4524994,0,0,0,4524994,0,4524994,33037190708,20946293,32959392671,177282423,77798037,-156336130,-78538093,0,0,0,0,0,0,0,0,0,522292,427049390,525990,65077349,525990,437070886,68756603,997954228,9021585970,86417936,0,0,7254912499,17474648,0,254743488,83019833,53244598,32478360,0,2356572,1355800,452368,0,14338953,65062341,16739009,0,18382592,0,33322001,20710707,0,0,0,0,21519361,1891806,260137693,7456047,9560542,3283057,0,63045125,8321905336,-30528030,1460987634,0,150258058,0,0,6165477,0,10485328,141430731,38356784166,10102579934,0,0,21969653728,72167817026,49274804,1875142,0,0,0,0,0,0,66318757414,66369907360,0,0,0,0,0,5797909666,5797909666,72167817026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900424876,E,201412,9,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,70,0,Y,112,Y,Y,Y,Y,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,5618209,0,1960146,45,74,0,525100,569015853,525100,122843214,0,0,0,0,0,0,0,691859067,1567584633,0,0,0,0,0,0,0,0,0,116542732289,800,108944232680,0,7598499609,800,7598500409,0,0,0,0,0,0,0,0,0,525100,32778680,0,0,0,0,0,32778680,9890722789,0,0,0,3840747975,3541179,0,11440317,664178,1114526,838622,0,3973681,2853848,0,0,133675694,237895895,0,680315,1583384,0,782834,542507,0,78323,0,0,1076005,3166929,29045451,13616070,11150250,9861259,0,776167,4309105409,0,6317254074,0,529682307,0,0,501104520,0,3498970,3779257,38419522139,15538496601,0,0,1628912431,62942250299,276587218,0,245447,0,0,0,0,0,2757962469,3034795134,0,0,0,0,0,59907455165,59907455165,62942250299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520891669,E,201405,4,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,64,0,Y,223,Y,N,N,Y,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,11206585,0,2379674,138,12,0,522200,937214074,522200,133405570,522200,17276265,522200,-3742653,0,0,0,1084153256,5397093,0,0,0,0,0,0,0,0,0,0,6861,0,27689,0,-20828,-20828,0,0,0,0,0,0,0,0,0,522200,5304455,0,0,0,0,0,5304455,1094833976,1424338,0,0,0,9548302,0,22208108,4387556,2338265,1900735,0,1685537,1377535,0,0,0,3378421,609762,2242938,2556882,0,2426762,4050874,0,2658172,853256481,0,5646470,702502,13493596,2174273,1419000,75250,0,1242388,940804147,106333921,220846872,0,199068670,0,0,20386356645,0,4682098,107069978,29677320,575500000,245651494,0,303879739,22179066737,4025012867,0,78039547,0,0,0,7771660135,8952044600,402628773,21229385922,0,0,0,973000,0,948707815,949680815,22179066737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60416470,E,201312,8,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,124165,0,Y,3395,Y,Y,Y,Y,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,9372686,0,670311,130,348,0,524113,1140139579,524113,28208251,524113,20628704,900099,5190638,524113,1744074,2501314,1198412560,893624834,0,0,0,0,0,0,0,0,0,3141640935,0,3095628796,0,46012139,0,46012139,0,0,0,0,0,0,0,0,0,524113,42079106,524113,6208930,0,0,0,48288036,2186337569,21663426,333917,5573503,1658677920,8359952,0,56706599,13316397,61439839,10670783,0,2943540,1394917,0,0,6423141,7261721,2742386,16239434,13285849,0,5692776,7281846,0,3138009,0,0,1805784,2747995,111509027,714572,15470161,13559468,0,23328994,2072281956,22273050,213355297,0,0,0,0,0,0,0,33788924,18647417599,1406984004,0,0,217837588,20541656462,83211394,0,0,0,3482010,0,0,0,18537977425,18624670829,0,0,0,0,0,1916985633,1916985633,20541656462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382227794,E,201406,6,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,27,0,Y,31,Y,N,N,Y,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,301695,0,53305,2,5,0,524298,1280988428,0,0,0,0,0,0,0,0,0,1280988428,370826237,0,0,0,0,0,0,0,0,0,2531400222,0,2096958615,0,434441607,0,434441607,0,0,0,0,0,0,0,0,0,900099,2750,0,0,0,0,0,2750,2086259022,0,0,0,0,346834,0,2662400,-187443,401171,216638,0,-1171827,171035,0,0,17644363,743608,0,-177494,-847879,0,212299,-34795,0,11753,0,0,268108,223551,1539920094,-8923722,565,0,0,0,1551479259,100,506130393,0,14962225,0,0,0,0,35977,471864,16020735429,387908338,0,0,705248246,17635492572,17944179,0,0,0,0,0,0,0,18026687062,18044631241,0,0,0,0,0,-409138669,-409138669,17635492572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361493430,E,201412,8,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,69323,0,Y,2431,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,11508952,366517,12503185,254,10,0,524113,1071023770,524113,579777834,524113,94201202,323100,8248,0,0,0,1745011054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1745011054,668295,528725,0,1400318501,6223635,0,33305864,11702551,13735771,7069640,0,428948,313445,0,0,929214,978332,1877570,6529658,2852090,0,5559488,915664,0,2830308,125541,0,5204080,277037,64010326,12822160,12625522,10289559,0,57509495,1659631419,1270986,98747448,0,0,0,0,0,0,0,31735297,0,31811086,13060955499,0,906584981,14131105297,17689905,0,0,0,0,0,43525308,0,12590843547,12652058760,0,0,0,0,0,1479046537,1479046537,14131105297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361493430,E,201312,8,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,68958,0,Y,2430,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,10298657,354500,-1085333,266,14,0,524113,1054138928,524113,572619150,524113,84738078,323100,5530,0,0,0,1711501686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1711501686,629229,531970,0,1337703392,5755987,0,31126181,30377019,15814414,6889069,0,336524,299825,0,0,1026468,1220560,2140875,7038271,2108186,0,5398109,885062,0,2712299,43782,0,4656701,390905,63697938,19234523,13428188,9710368,0,44238185,1607394030,1587882,60324888,0,0,0,0,0,0,0,32122040,0,28505628,12415697530,0,860207775,13398445743,15288834,0,0,0,0,0,35626316,0,11832086342,11883001492,0,0,0,0,0,1515444251,1515444251,13398445743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910219435,E,201412,14,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,233,0,Y,1491,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,10516002,0,682639,221,27,0,522130,334544761,522130,101647031,523000,5998051,524298,2232536,0,0,27427422,471849801,35548882,0,0,416344,0,346988,0,69356,0,69356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900003,345579,0,0,0,0,0,345579,507813618,1890332,0,0,0,11198641,0,77717045,2328529,5566092,7562045,0,1100303,1563703,111898,0,355472,5915701,14852521,14154800,15751094,0,13940195,1028609,0,782260,45540971,0,13217163,699226,14214488,66471486,0,0,0,11046918,327009492,171343267,882125202,0,0,0,0,8284980534,0,14659734,69873123,3112835055,25454569,0,0,490762397,13052033881,121781725,0,0,0,0,0,125525138,0,11503488184,11750795047,0,0,0,0,0,1301238834,1301238834,13052033881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470339250,E,201412,8,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,231694,0,Y,2734,Y,Y,N,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,10340794,0,4458692,247,46,0,524113,767491749,524113,5811004,0,0,0,0,0,0,0,773302753,417201611,0,0,18995028,0,14199926,0,4795102,0,4795102,907751685,271280610,873626714,272012661,34124971,-732051,33392920,0,0,0,0,0,0,0,0,0,812930,492673,900099,-33446,0,0,0,459227,1229151613,509998,0,0,959905938,8070964,0,39783271,-1467568,13423227,6802511,0,1720936,352024,0,0,0,1327732,2257045,2163299,5098902,0,4539033,536859,0,916506,0,0,5092920,958141,51484071,21166815,17374055,3989932,0,8541872,1154548483,62297597,103694620,0,55176,0,0,0,0,0,84234028,7793391058,1908888110,0,0,487428999,10439989588,47086123,0,0,0,0,0,0,0,9295998994,9343085117,0,0,0,0,0,1096904471,1096904471,10439989588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
