date,fullVisitorId,visitId,channelGrouping,revenue,currencyCode
20170801,8945917216741229076,1501606687,Direct,1002.78,USD
20170801,9947542428111966715,1501608078,Referral,2934.61,USD
20170731,9927137011932170896,1501533749,Organic Search,2494,USD
20170731,7919324539682095217,1501534049,Direct,1004.68,USD
20170728,2257511526682563520,1501225751,Referral,1053,USD
20170728,4663624118007682021,1501245874,Referral,1264.08,USD
20170727,5498668051057208787,1501196835,Direct,1013.19,USD
20170725,1729388992500827205,1500993100,Referral,1516,USD
20170723,1729388992500827205,1500844993,Referral,1797.4,USD
20170723,6999207543321230054,1500864442,Referral,1557,USD
