date,fullVisitorId,visitId,channelGrouping,totalTransactionRevenue,currencyCode,products_ordered
20170801,9947542428111966715,1501608078,Referral,2934.61,USD,"22 oz Android Bottle,22 oz YouTube Bottle Infuser,23 oz Wide Mouth Sport Bottle,26 oz Double Wall Insulated Bottle,Android 17oz Stainless Steel Sport Bottle,Android Hard Cover Journal,Android Luggage Tag,Android Lunch Kit,Android RFID Journal,Android Stretch Fit Hat"
20170801,8945917216741229076,1501606687,Direct,1002.78,USD,"26 oz Double Wall Insulated Bottle,Android 5-Panel Low Cap,Android Hard Cover Journal,Android Men's Engineer Short Sleeve Tee Charcoal,Android Men's Long & Lean Badge Tee Charcoal,Android Men's Long Sleeve Badge Crew Tee Heather,Android Men's Short Sleeve Hero Tee White,Android Men's Short Sleeve Tri-blend Hero Tee Grey,Android Men's Vintage Henley,Android Men's Vintage Tank"
20170731,9927137011932170896,1501533749,Organic Search,2494,USD,"1 oz Hand Sanitizer,22 oz Android Bottle,22 oz YouTube Bottle Infuser,23 oz Wide Mouth Sport Bottle,26 oz Double Wall Insulated Bottle,Android 17oz Stainless Steel Sport Bottle,Android Luggage Tag,Google 17oz Stainless Steel Sport Bottle,Google 22 oz Water Bottle,Google 25 oz Red Stainless Steel Bottle"
20170731,7919324539682095217,1501534049,Direct,1004.68,USD,"1 oz Hand Sanitizer,22 oz Android Bottle,22 oz YouTube Bottle Infuser,23 oz Wide Mouth Sport Bottle,25L Classic Rucksack,26 oz Double Wall Insulated Bottle,8 pc Android Sticker Sheet,Android 17oz Stainless Steel Sport Bottle,Android Hard Cover Journal,Android Lunch Kit"
20170728,2257511526682563520,1501225751,Referral,1053,USD,"Nest® Cam Indoor Security Camera - USA,Nest® Cam Outdoor Security Camera - USA,Nest® Learning Thermostat 3rd Gen-USA - Copper,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest® Learning Thermostat 3rd Gen-USA - White,Nest® Protect Smoke + CO White Battery Alarm-USA,Nest® Protect Smoke + CO White Wired Alarm-USA"
20170728,4663624118007682021,1501245874,Referral,1264.08,USD,"Ballpoint LED Light Pen,Ballpoint Stylus Pen,Colored Pencil Set,Foam Can and Bottle Cooler,Four Color Retractable Pen,Google Device Holder Sticky Pad,Google Leather Journal,Google Men's  Zip Hoodie,Google Men's Long Sleeve Raglan Ocean Blue,Google Stylus Pen w/ LED Light"
20170727,5498668051057208787,1501196835,Direct,1013.19,USD,"1 oz Hand Sanitizer,22 oz Android Bottle,22 oz YouTube Bottle Infuser,23 oz Wide Mouth Sport Bottle,26 oz Double Wall Insulated Bottle,8 pc Android Sticker Sheet,Android 17oz Stainless Steel Sport Bottle,Android Hard Cover Journal,Android Lunch Kit,Android Men's Outerstellar Short Sleeve Tee Black"
20170725,1729388992500827205,1500993100,Referral,1516,USD,"Ballpoint LED Light Pen,Ballpoint Stylus Pen,Clip-on Compact Charger,Colored Pencil Set,Compact Selfie Stick,Four Color Retractable Pen,Google 2200mAh Micro Charger,Google Flashlight,Google Spiral Journal with Pen,Google Stylus Pen w/ LED Light"
20170723,1729388992500827205,1500844993,Referral,1797.4,USD,"1 oz Hand Sanitizer,8 pc Android Sticker Sheet,Android Hard Cover Journal,Android RFID Journal,Android Sticker Sheet Ultra Removable,Basecamp Explorer Powerbank Flashlight,Clip-on Compact Charger,Foam Can and Bottle Cooler,Google 2200mAh Micro Charger,Google 4400mAh Power Bank"
20170723,6999207543321230054,1500864442,Referral,1557,USD,"Nest® Cam Indoor Security Camera - USA,Nest® Cam Outdoor Security Camera - USA,Nest® Learning Thermostat 3rd Gen-USA - Copper,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest® Learning Thermostat 3rd Gen-USA - White,Nest® Protect Smoke + CO White Battery Alarm-USA,Nest® Protect Smoke + CO White Wired Alarm-USA"
