date,station_name,prcp
7/29/2022,COLONIA JUAN CARRASCO MAZATLA,2.5
7/29/2022,OAK RIDGE,2.5
7/29/2022,SEPT-ILES  QUE,2.75
7/29/2022,JIM KELLY FLD,0.25
7/29/2022,ROTTNEST ISLAND,0.25
7/29/2022,ACQUAROSSA-COMPROVASCO,0.25
7/29/2022,WISCASSET,0.25
7/29/2022,BATESVILLE RGNL,0.25
7/29/2022,DAVOS,0.25
7/29/2022,OTTAWA MACDONALD CARTIER INTL,0.25
7/29/2022,MT WASHINGTON RGNL,0.25
7/29/2022,SUFFOLK EXECUTIVE,0.25
7/29/2022,VADUZ,0.25
7/29/2022,PHILADELPHIA INTERNATIONAL AI,0.25
7/29/2022,BAIE COMEAU  QUE,0.25
7/29/2022,TELA,0.25
7/29/2022,SUBIC BAY INTL,0.25
7/29/2022,PITTSFIELD MUNI,0.25
7/29/2022,EASTERN SLOPES RGNL,0.5
7/29/2022,WELLAND PELHAM,0.5
7/29/2022,CHAPLEAU,0.5
7/29/2022,KATSCHBERG,0.5
7/29/2022,MACHA,0.5
7/29/2022,PUYSEGUR POINT AWS,0.5
7/29/2022,YASOUJ,0.5
7/29/2022,MORRISVILLE STOWE ST,0.5
7/29/2022,GHEDI,0.75
7/29/2022,SERGAC,0.75
7/29/2022,ZEJA,0.75
7/29/2022,KONOSHA,0.75
7/29/2022,IM POLINY OSIPENKO,0.75
7/29/2022,BERGAMO ORIO AL SERIO,0.75
7/29/2022,CAMERI,0.75
7/29/2022,SOFIJSKIJ PRIISK,0.75
7/29/2022,LENSK,0.75
7/29/2022,ALBERSCHWENDE,0.75
7/29/2022,SIALKOT CITY,0.75
7/29/2022,WINGS FLD,1
7/29/2022,KINGMAN,1
7/29/2022,EMMEN,1.25
7/29/2022,SEKTAGLI,1.5
7/29/2022,GALZIG,1.5
7/29/2022,MURREE,2.13
7/29/2022,KESHAN,0.09
7/29/2022,DAVIS MONTHAN AFB,0.09
7/29/2022,LORD HOWE ISLAND AERO,0.09
7/29/2022,TONGHE,0.09
7/29/2022,ENCARNACION,0.09
7/29/2022,SHALTZ FIELD AIRPORT,0.09
7/29/2022,WATERVILLE R LAFLEUR,0.09
7/29/2022,ZLATIBOR,0.09
7/29/2022,FALLS CREEK AWS,0.09
7/29/2022,CHICAGO/WAUKEGAN,0.09
7/29/2022,KELSEY DAM CS  MAN,0.09
7/29/2022,LE BON BAY AWS,0.09
7/29/2022,MONTGOMERY CO AIRPARK,0.09
7/29/2022,STROTHER FLD,0.09
7/29/2022,CHURCHILL FALLS,0.09
7/29/2022,HENDERSON CITY CO,0.09
7/29/2022,MT COOK AERODROME AWS,0.09
7/29/2022,CANNON AFB,0.09
7/29/2022,MONROE CO,0.09
7/29/2022,NONG PHLUB AGROMET,0.09
7/29/2022,SOFIA,0.09
7/29/2022,POINTE-AU-PERE (INRS)        ,0.09
7/29/2022,CAPE LEEUWIN,0.09
7/29/2022,KOSTA (ORREFORS)             ,0.09
7/29/2022,REUS,0.09
7/29/2022,TAKAPAU PLAINS AWS,0.09
7/29/2022,NAKHON PHANOM,0.09
7/29/2022,GENERAL FRANCISCO JAVIER MINA,0.09
7/29/2022,VIRGINIA TECH ARPT,0.09
7/29/2022,YAMPA VALLEY AIRPORT,0.09
7/29/2022,HUICHON,0.09
7/29/2022,EGOLZWIL,0.09
7/29/2022,MELVILLE HALL,0.09
7/29/2022,JUUPAJOKI HYYTIALA,0.09
7/29/2022,NUIQSUT,0.09
7/29/2022,NORTHERN AROOSTOOK,0.09
7/29/2022,ALOR STAR,0.09
7/29/2022,EDINBURGH GOGARBANK,0.09
7/29/2022,LUXI,0.09
7/29/2022,HALIFAX INTL,0.09
7/29/2022,LUKE AFB,0.09
7/29/2022,ST. PETERS  PEI,0.09
7/29/2022,RIVIERE DU LOUP  QUE,0.09
7/29/2022,MAATSUYKER ISLAND LIGHTHOUSE,0.09
7/29/2022,ARORAE ISLAND,0.09
7/29/2022,NATASHQUAN A,0.18
7/29/2022,TAOS MUNI APT(AWOS)          ,0.18
7/29/2022,CARIBOU MUNICIPAL AIRPORT,0.18
7/29/2022,ANDALUSIA OPP,0.18
7/29/2022,KNOX CO RGNL,0.18
7/29/2022,SAN JOSE,0.18
7/29/2022,FLORIDA,0.18
7/29/2022,ELFIN COVE SEAPLANE,0.18
7/29/2022,JOHNSON CO EXECUTIVE,0.18
7/29/2022,HUADE,0.18
7/29/2022,KANGDING,0.18
7/29/2022,VISP,0.18
7/29/2022,HUTCHINSON CO,0.36
7/29/2022,ELBERT CO-PATZ FLD AIRPORT,0.36
