tax_ein,org_ein,name,totrevenue,totfuncexpns
110988860,110988860,LAWRENCE BEACH CLUB INC,3319703,3643012
111969005,111969005,EPISCOPAL MINISTRIES OF LONG ISLAND,821866,1226033
131184700,131184700,PRINCETON CLUB OF NEW YORK,14145532,16598591
131740122,131740122,ST BARNABAS HOSPITAL,338787337,346018253
133930505,133930505,UGC FOUNDATION INC,577125,955885
134141751,134141751,AGUILA INC,52601587,52547402
134207291,134207291,MIDDLE GEORGIA CENTER FOR EDUCATIONAL EXCELLENCE,823875,815890
141626664,141626664,EDINBURG VOLUNTEER FIRE CO INC,133449,104633
160341905,160341905,BAR ASSOCIATION OF ERIE COUNTY,980052,997960
161452579,161452579,SOUTHERN CAYUGA INSTANT AID INC,332636,290061
200148070,200148070,WONDERLAND WIZARDS YOUTH HOCKEY ASSOCIATION INC,1242866,1208793
200625615,200625615,WILSON AND CAROL TRUEBLOOD PERFORMING ARTS CENTER INC,94212,181510
200904691,200904691,C&S PATIENT EDUCATION FOUNDATION,762744,509057
201124013,201124013,PACKAGES FROM HOME,864856,853689
201124013,201124013,PACKAGES FROM HOME,801440,799885
201917821,201917821,SACRAMENTO CONSTRUCTION MANAGEMENT EDUCATIONAL FOUNDATION,220409,178546
202192754,202192754,GREG WOLF FUND INC,197748,74230
202192754,202192754,GREG WOLF FUND INC,327058,249775
203575951,203575951,SUSTAINABLE PITTSBURGH,1702579,968425
205288641,205288641,PERRY PRESBYTERIAN PLAYSCHOOL INC,57018,55060
205517351,205517351,EAST HANOVER COMMUNITY PARTNERSHIPINC,332988,440137
205900465,205900465,LIFE CHALLENGE OF WESTERN NORTHCAROLINA INC,171552,145159
208987948,208987948,SPFPA AND PARTICIPATING EMPLOYERSHEALTH AND WELFARE TRUST FUND,66519849,62904753
222817982,222817982,HISTORIC MORVEN INC,1752452,1043066
223681640,223681640,JEWISH COMMUNITY CENTER OF SOMERSET HUNTERDON AND WARREN COUNTIES INC,6995196,5125477
223683539,223683539,ROOTS & WINGS FOUNDATION A NEW JERSEY NON PROFIT CORPORATION,855887,573235
236393370,236393370,REINHOLDS FIRE COMPANY NO 1,102522,105459
237003565,237003565,NAPA VALLEY COLLEGE FOUNDATION,1205056,851310
237098748,237098748,LITERACY COUNCIL OF NORTHERN VIRGINIA INC,1242001,1138395
237155598,237155598,VERDE VALLEY AMBULANCE CO INC,2248315,2052283
237167868,237167868,MISSISSIPPI SOFT DRINK ASSOCIATION,207770,207898
237395103,237395103,SCOTTSDALE TRAINING AND REHABILITATION SERVICES INC,3152764,3111501
237395103,237395103,SCOTTSDALE TRAINING AND REHABILITATION SERVICES INC,2803893,2966706
251612399,251612399,BRADFORD HOSPITAL FOUNDATION,2044922,1262094
256053336,256053336,RICHLAND TOWNSHIP VOLUNTEER FIRE DEPARTMENT OF ALLEGHANY COUNTY,365939,678361
260876943,260876943,CASA OF THE HEARTLAND INC,208400,125918
261110584,261110584,NEXT GENERATION SCHOLARS INC,391450,344668
261136800,261136800,WESTOVER HILLS ASSEMBLY OF GOD FOUNDATION,65444,76550
262994486,262994486,CLAIRVAUX INSTITUTE,767726,527872
264475176,264475176,WASHINGTON ALLIANCE FOR A COMPETITIVE ECONOMY,426134,389240
264713497,264713497,LOGOS ACADEMY,214438,199738
270208297,270208297,WOODROW WILSON HIGH SCHOOL COMMUNITY FOUNDATION INC,607233,289818
272187557,272187557,BROOKS SKILLED NURSING FACILITY HOLDINGS A INC,1237999,2253521
272265572,272265572,OLIVANN,253965,308910
275104203,275104203,MEDIC MOBILE INC,1901270,1491130
275399569,275399569,ENDEAVOR HALL,3614289,3521412
300127559,300127559,MARTIN THEATER INC,304229,293421
306135476,306135476,SPECTRA ENERGY CORP VEBA I,30329030,33412311
310713650,310713650,APPLE TREE,485716,475779
310896672,310896672,OWENSBORO MUSEUM OF FINE ART INC,424600,411722
311066881,311066881,WEST VIRGINIA HEALTH RIGHT INC,26609500,26105517
311097818,311097818,PRESTON MEMORIAL HOSPITAL CORPORATION,13401211,13328048
311706977,311706977,DEVELOPMENTAL PATHWAYS HOUSING CORP II,76878,112125
311731118,311731118,THE KENNEDY HEALING LOVE FOUNDATION,171233,170977
314115710,314115710,AMERICAN MOTORCYCLE ASSOCIATION,12899599,14172814
314402425,314402425,THE CARR CENTER INC,700665,425415
330007407,330007407,IRVINE CAMPUS HOUSING AUTHORITY,6495345,6573143
330328589,330328589,LAKE MURRAY TENNIS CLUB,118942,128904
340714571,340714571,APPLEWOOD CENTERS INC,16295216,15398394
350539460,350539460,NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES,12589302,12153319
352059750,352059750,PRECIOUS HEARTS DEVELOPMENT CENTER INC,233041,188240
352076306,352076306,SOUTHWEST INDIANA POWER HOUSE INC,152882,155410
352244427,352244427,WASTE NOT WANT NOT INC,3078555,3068201
363889504,363889504,CCS EMPLOYEE BENFITS GROUP INC,4140580,3703800
371230843,371230843,OUR REDEEMER DAY CARE CENTER INC,563170,542218
371587428,371587428,RODEF CHESED,439501,466980
381304732,381304732,AMERICAN LEGION RECREATIONAL CLUB INC OF QUINCY MICHIGAN,92645,92155
382147302,382147302,DAVISON AREA SENIOR MINISTRIES,26913,98285
382558941,382558941,GROSSE POINTE PARK FOUNDATION,380415,26946
382950493,382950493,PETOSKEY EDUCATION FOUNDATION,62106,40407
383544941,383544941,BEDFORD COMMUNITY FOUNDATION,102080,92364
383544941,383544941,BEDFORD COMMUNITY FOUNDATION,78248,28282
390924633,390924633,BLACK RIVER FALLS RECREATION ASSOCIATION INC,612466,608142
391522543,391522543,WISCONSIN HISPANIC SCHOLARSHIP FOUNDATION INC,1777182,1878313
410919153,410919153,AVERA MARSHALL,68696600,63842133
411390671,411390671,BEAR CREEK SERVICES INC,5008355,4634840
411482075,411482075,PRESBYTERIAN HOMES OF ARDEN HILLS INC,24064474,24261511
411806657,411806657,CENTRACARE CLINIC,154085688,169168675
411925917,411925917,GREEN HOUSE RECOVERY CENTER,517884,516420
416019040,416019040,ST CLOUD STATE UNIVERSITY FOUNDATION INC,6778084,5485719
421206350,421206350,CHILDRENS LEARNING CENTER,539311,524307
421592989,421592989,BLUEGRASS VILLAGE INC,43246,51510
421611957,421611957,SPORTS MEDICINE RESEARCH AND TESTING LABORATORY,7985470,4458610
421611957,421611957,SPORTS MEDICINE RESEARCH AND TESTING LABORATORY,5791657,4101770
421671038,421671038,OPERA NAPLES INC,1268253,1053324
431525298,431525298,NOURISHKC,664048,601298
431525298,431525298,NOURISHKC,612208,638209
431697563,431697563,PALESTINE GARDENS NORTH INC,336350,489970
432010579,432010579,GODS MOUNTAIN MINISTRIES INC,309866,217255
436041545,436041545,MONTGOMERY CEMETERY MEMORIAL TRUST ASSN,94750,67194
450320071,450320071,NORTH DAKOTA MANUFACTURED HOUSING ASSOCIATION,133823,58642
450395045,450395045,CHRISTIAN FAMILY LIFE SERVICES INC,183969,187682
451829501,451829501,SIGMA PHI EPSILON OF AZ BETA EDUCATION FOUNDATION,214508,248136
452159887,452159887,CARRIERS OF LIGHT,231648,244215
461215609,461215609,BALTIMORE REGIONAL HOUSING PARTNERSHIP INC,47814392,46770674
464755352,464755352,BILLIE JEAN KING LEADERSHIP INITIATIVE FOUNDATION,384044,182928
464811166,464811166,ANDREWS ARMY INC,74404,28577
470814669,470814669,PHELPS COUNTY DEVELOPMENT CORPORATION,605583,402068
480963148,480963148,KANSANS FOR LIFE EDUCATIONAL FUND,292267,305900
486117360,486117360,ZETA TAU ALPHA HOUSE CORPORATION,88698,59516
