productSKU,name,stockLevel,ratio,restockingLeadTime,total_ordered
GGOEGOAQ012899,Ballpoint LED Light Pen,2098,0.21734985700667303,11,456
GGOEGDHC074099," 17oz Stainless Steel Sport Bottle",1390,0.24028776978417266,13,334
GGOEGOCB017499,Leatherette Journal,4978,0.06408196062675774,36,319
GGOEGOCC077999," Spiral Journal with Pen",4668,0.06212510711225364,10,290
GGOEGFYQ016599,Foam Can and Bottle Cooler,4495,0.05628476084538376,10,253
GGOEGOCB078299," Leather Journal-Black",354,0.7062146892655368,10,250
GGOEGHPJ080310," Blackout Cap",415,0.45542168674698796,6,189
GGOEADHH073999,Android 17oz Stainless Steel Sport Bottle,283,0.5901060070671378,8,167
GGOEGAAX0037," Sunglasses",6805,0.021454812637766347,5,146
GGOENEBQ078999," Cam Outdoor Security Camera - USA",4683,0.02391629297458894,10,112
GGOEGOAB022499,Satin Black Ballpoint Pen,477,0.22012578616352202,2,105
GGOEGAAX0098,"7"" Dog Frisbee",376,0.2765957446808511,5,104
GGOENEBB078899," Cam Indoor Security Camera - USA",2615,0.03900573613766731,42,102
GGOEGDHQ015399,26 oz Double Wall Insulated Bottle,256,0.37890625,9,97
GGOENEBJ079499," Learning Thermostat 3rd Gen-USA - Stainless Steel",2525,0.037227722772277226,7,94
GGOEYOCR077799," Hard Cover Journal",2046,0.041544477028347994,13,85
GGOEGAAX0781," Leather Journal",181,0.4530386740331492,8,82
GGOEGBMJ013399,Sport Bag,2877,0.024330900243309004,9,70
GGOEGOLC013299,Spiral Notebook and Pen Set,6708,0.010286225402504472,11,69
GGOEGBJL013999," Canvas Tote Natural/Navy",602,0.10299003322259136,3,62
GGOEGCBQ016499,SPF-15 Slim & Slender Lip Balm,4069,0.014745637748832637,31,60
GGOEGETB023799," Power Bank",210,0.26666666666666666,7,56
GGOEGFKA022299,Keyboard DOT Sticker,189,0.2804232804232804,9,53
GGOEGPJC019099,"7"" Dog Frisbee",154,0.33766233766233766,11,52
GGOEYDHJ056099,22 oz  Bottle Infuser,1944,0.0257201646090535,7,50
GGOEGOAB021499,Metal Texture Roller Pen,775,0.06193548387096774,3,48
GGOEGBJC019999,Collapsible Shopping Bag,117,0.36752136752136755,11,43
GGOEGAAX0081,Recycled Paper Journal Set,740,0.05675675675675676,5,42
GGOENEBQ079199," Protect Smoke + CO White Wired Alarm-USA",1361,0.03085966201322557,13,42
GGOEGAAX0074," 22 oz Water Bottle",15607,0.002562952521304543,2,40
GGOEGOCD078399," Leather Perforated Journal",1305,0.029885057471264367,13,39
GGOEGODR017799,Recycled Mouse Pad,1756,0.022209567198177675,39,39
GGOEGHGC019799," Sunglasses",2444,0.014320785597381341,13,35
GGOEGKAA019299,Switch Tone Color Crayon Pen,388,0.08762886597938144,12,34
GGOEGFKQ020799," Doodle Decal",2080,0.016346153846153847,5,34
GGOEGOXQ016399,Badge Holder,1186,0.02782462057335582,2,33
GGOEYFKQ020699," Custom Decals",4536,0.006613756613756613,14,30
GGOEYAAJ033014," Men's Long & Lean Tee Charcoal",42,0.7142857142857143,11,30
GGOEGOCR017899,Recycled Paper Journal Set,4975,0.006030150753768844,13,30
GGOEGHGR019499," Sunglasses",1195,0.021757322175732216,5,26
GGOEGEHQ024099,Clip-on Compact Charger,1468,0.0170299727520436,11,25
GGOENEBQ079099," Protect Smoke + CO White Battery Alarm-USA",325,0.07384615384615385,11,24
GGOEGDHC018299," 22 oz Water Bottle",19678,0.0011688179693058237,4,23
GGOEGAAJ032816," Men's Long & Lean Tee Charcoal",309,0.07119741100323625,16,22
GGOEGOAQ020099,Four Color Retractable Pen,2450,0.008979591836734694,22,22
GGOEGAAX0330," Men's Long & Lean Tee Charcoal",43,0.46511627906976744,12,20
GGOEGAAX0620," Infant Short Sleeve Tee Green",52,0.38461538461538464,7,20
GGOEGOCL077699," Hard Cover Journal",2171,0.009212344541685858,14,20
GGOEGOCC077299," RFID Journal",2839,0.006692497358224727,13,19
GGOEAFKQ020499,8 pc Android Sticker Sheet,613,0.03099510603588907,12,19
GGOEGAAL010616," Men's 100% Cotton Short Sleeve Hero Tee Navy",50,0.38,5,19
GGOEGAEJ031315," Tri-blend Hoodie Grey",34,0.5294117647058824,12,18
GGOEGAAQ010414," Men's 100% Cotton Short Sleeve Hero Tee White",186,0.0913978494623656,16,17
GGOEGESC014099,Rocket Flashlight,242,0.06611570247933884,11,16
GGOEGALB034113," Women's Vintage Hero Tee Black",153,0.10457516339869281,14,16
GGOEAKDH019899,Windup Android,1674,0.009557945041816009,5,16
GGOEGDHR018499," 22 oz Water Bottle",1482,0.010796221322537112,9,16
GGOEGAAR010715," Men's 100% Cotton Short Sleeve Hero Tee Red",146,0.1095890410958904,14,16
GGOEGAAX0104," Men's 100% Cotton Short Sleeve Hero Tee White",749,0.020026702269692925,12,15
GGOEA0CH077599,Android Hard Cover Journal,102,0.14705882352941177,17,15
GGOEGHGT019599," Sunglasses",376,0.03723404255319149,8,14
GGOEGPJC203399,Crunch Noise Dog Toy,352,0.03977272727272727,9,14
GGOEGHGH019699," Sunglasses",2086,0.006711409395973154,6,14
GGOEGFKQ020399," Laptop and Cell Phone Stickers",1516,0.008575197889182058,3,13
GGOEGAAX0106," Men's 100% Cotton Short Sleeve Hero Tee Navy",29,0.4482758620689655,6,13
GGOEGBPB021199," Slim Utility Travel Bag",516,0.025193798449612403,12,13
GGOEGOFH020299," Screen Cleaning Cloth",1324,0.00906344410876133,5,12
GGOEGAAL010614," Men's 100% Cotton Short Sleeve Hero Tee Navy",74,0.16216216216216217,15,12
