date,store,category,vendor_no,item,state_btl_cost,btl_price,bottle_qty,total
2014-01-09,2571,1041150,370,33256,6.49,9.74,24,233.76
2014-01-09,2571,1062050,305,42240,9.42,14.13,2,28.26
2014-01-09,2571,1062050,305,42244,9.42,14.13,2,28.26
2014-01-09,2571,1062050,305,42242,9.42,14.13,2,28.26
2014-01-09,2587,1081015,305,64136,13.86,20.79,3,62.37
2014-01-09,2587,1081312,434,81966,4.09,6.14,3,18.42
2014-01-09,2587,1081315,421,82956,9.34,14.01,3,42.03
2014-01-09,2593,1081315,65,82618,11.54,17.31,2,34.62
2014-01-09,2593,1081400,434,86251,2.21,3.31,4,13.24
2014-01-09,2593,1081400,65,86112,2.22,3.33,2,6.66
2014-01-09,2599,1081400,434,86251,2.21,3.31,24,79.44
2014-01-09,2612,1051100,350,54446,5.48,8.22,6,49.32
2014-01-09,2612,1081400,55,86390,2.13,3.19,6,19.14
2014-01-09,2616,1062050,205,42437,6.49,10.49,6,62.94
2014-01-09,2616,1062050,389,42507,14.99,22.49,6,134.94
2014-01-09,2616,1051100,350,54446,5.48,8.22,12,98.64
2014-01-09,2616,1051100,434,54057,6.38,9.56,12,114.72
2014-01-09,2616,1081315,65,71441,15.83,23.74,1,23.74
2014-01-09,2616,1081305,65,82600,11.54,17.31,2,34.62
2014-01-09,2616,1081380,55,84153,9.5,14.25,4,57
2014-01-09,2616,1081312,380,83363,5.15,7.73,3,23.19
2014-01-09,2616,1081400,434,86251,2.21,3.31,12,39.72
2014-01-09,2622,1051100,350,54446,5.48,8.22,3,24.66
2014-01-09,2622,1081015,305,64136,13.86,20.79,3,62.37
2014-01-09,2622,1081400,350,86506,3.33,4.99,3,14.97
2014-01-09,2622,1081400,434,86250,2.5,3.75,3,11.25
2014-01-09,2626,1041150,370,33256,6.49,9.74,12,116.88
2014-01-09,2627,1041150,370,33286,6.49,9.74,2,19.48
2014-01-09,2627,1041150,370,33266,6.49,9.74,2,19.48
2014-01-09,2627,1041150,370,33256,6.49,9.74,2,19.48
2014-01-09,2627,1081315,421,82956,9.34,14.01,2,28.02
2014-01-09,2627,1081400,350,86506,3.33,4.99,2,9.98
2014-01-09,2633,1011250,259,18120,13.25,20.38,1,20.38
2014-01-09,2633,1051100,434,54057,6.38,9.56,12,114.72
2014-01-09,2633,1081015,305,64136,13.86,20.79,12,249.48
2014-01-09,2633,1081240,434,79026,4.5,6.75,12,81
2014-01-09,2633,1081400,421,86637,3.01,4.52,12,54.24
2014-01-09,2633,1081400,65,86112,2.22,3.33,12,39.96
2014-01-09,2633,1081400,55,86390,2.13,3.19,12,38.28
2014-01-09,2663,1081250,350,79816,4.65,6.97,12,83.64
2014-01-09,2663,1062100,260,904577,10.74,16.11,24,386.64
2014-01-09,2806,1062050,205,42437,6.49,10.49,12,125.88
2014-01-09,2954,1041150,370,33256,6.49,9.74,4,38.96
2014-01-09,2954,1081015,305,64136,13.86,20.79,4,83.16
2014-01-09,2955,1081015,305,64136,13.86,20.79,6,124.74
2014-01-09,3565,1011400,65,16416,9.97,14.95,3,44.85
2014-01-09,3565,1081220,350,78456,4.65,6.97,3,20.91
2014-01-09,3565,1081312,350,84486,4.09,6.14,4,24.56
2014-01-09,3618,1081015,305,64136,13.86,20.79,12,249.48
2014-01-09,3618,1081400,65,86112,2.22,3.33,12,39.96
2014-01-09,3647,1081400,65,86112,2.22,3.33,12,39.96
2014-01-09,3670,1081015,305,64136,13.86,20.79,12,249.48
2014-01-09,3670,1081400,65,86112,2.22,3.33,12,39.96
2014-01-09,3692,1062050,389,42666,9.5,14.25,3,42.75
2014-01-09,3692,1051100,350,54444,3.55,5.33,3,15.99
2014-01-09,3692,1081250,350,79816,4.65,6.97,3,20.91
2014-01-09,3692,1081315,421,82957,9.87,14.8,3,44.4
2014-01-09,3692,1081400,350,86507,3.75,5.62,360,2023.2
2014-01-09,3692,1081400,55,86390,2.13,3.19,12,38.28
2014-01-09,3769,1081015,305,64136,13.86,20.79,12,249.48
2014-01-09,3769,1081400,65,86112,2.22,3.33,12,39.96
